Issue,Category,Sub-Category,Priority,Details
Long check-in process,Customer Service,Check-in,High,"Despite having confirmed reservation, John Doe mentioned he had to wait for over an hour for check-in due to staff's inability to organize room assignments."
Poor customer service,Customer Service,Staff Interaction,High,"John's interactions with staffing, from room service to concierge were disappointing. A housekeeping staff member even violated his privacy by entering his room without knocking, despite the 'Do Not Disturb' sign being displayed."
Incorrect charges in the bill,Financial,Billing,High,John was wrongfully charged for a spa service he did not use and a room service order he did not place. The process of getting these charges removed was slow and frustrating.
Amenities were not as advertised,Hotel Amenities,In-Room Amenities,Medium,"The Wi-Fi was frustratingly slow, the TV had very few channels and the minibar was nearly empty, contrary to what was mentioned in the listing."
Poor room condition and cleanliness,Hygiene,Room Cleanliness,High,"John mentioned that the room was not clean, there were stains on the carpet, musty air, mold in the bathroom shower, unused toiletries, and poor bedding linen which added to the discomfort."
Delay in luggage delivery,Hotel Amenities,Internet,Medium,Reported issue: Delay in luggage delivery. Categorized under Internet.
Elevator not working,Facilities,Laundry,Low,Reported issue: Elevator not working. Categorized under Laundry.
Key card malfunction,Hotel Amenities,Laundry,Low,Reported issue: Key card malfunction. Categorized under Laundry.
Broken furniture,Technical,Room Assignment,Low,Reported issue: Broken furniture. Categorized under Room Assignment.
Stained towels,Facilities,Gym,High,Reported issue: Stained towels. Categorized under Gym.
Noisy neighbors,Facilities,Front Desk,Low,Reported issue: Noisy neighbors. Categorized under Front Desk.
Extra bed not provided,Hygiene,Elevator,Medium,Reported issue: Extra bed not provided. Categorized under Elevator.
Room service delay,Customer Service,Elevator,Medium,Reported issue: Room service delay. Categorized under Elevator.
Insufficient towels,Facilities,Air Conditioning,High,Reported issue: Insufficient towels. Categorized under Air Conditioning.
Lack of COVID-19 precautions,Hygiene,Swimming Pool,Medium,Reported issue: Lack of COVID-19 precautions. Categorized under Swimming Pool.
Inadequate lighting in room,Hotel Amenities,Internet,High,Reported issue: Inadequate lighting in room. Categorized under Internet.
No airport shuttle,Hotel Amenities,Gym,Low,Reported issue: No airport shuttle. Categorized under Gym.
Extra bed not provided,Facilities,Room Assignment,High,Reported issue: Extra bed not provided. Categorized under Room Assignment.
Broken furniture,Customer Service,Housekeeping,Medium,Reported issue: Broken furniture. Categorized under Housekeeping.
Wi-Fi not working,Customer Service,Swimming Pool,Low,Reported issue: Wi-Fi not working. Categorized under Swimming Pool.
No hot water in the morning,Hygiene,Swimming Pool,High,Reported issue: No hot water in the morning. Categorized under Swimming Pool.
Poor mobile network reception,Facilities,Noise,Medium,Reported issue: Poor mobile network reception. Categorized under Noise.
Stained towels,Hygiene,Internet,Medium,Reported issue: Stained towels. Categorized under Internet.
Inconsistent housekeeping,Customer Service,Housekeeping,High,Reported issue: Inconsistent housekeeping. Categorized under Housekeeping.
Low water pressure,Hygiene,Gym,Medium,Reported issue: Low water pressure. Categorized under Gym.
Insufficient towels,Facilities,Elevator,Medium,Reported issue: Insufficient towels. Categorized under Elevator.
Late night noise complaints,Customer Service,Room Assignment,Low,Reported issue: Late night noise complaints. Categorized under Room Assignment.
Broken furniture,Technical,Laundry,Low,Reported issue: Broken furniture. Categorized under Laundry.
Elevator not working,Financial,Housekeeping,Low,Reported issue: Elevator not working. Categorized under Housekeeping.
Overbooking issue,Facilities,Internet,High,Reported issue: Overbooking issue. Categorized under Internet.
Inconsistent housekeeping,Hygiene,Air Conditioning,Medium,Reported issue: Inconsistent housekeeping. Categorized under Air Conditioning.
Unresponsive front desk,Financial,Housekeeping,Medium,Reported issue: Unresponsive front desk. Categorized under Housekeeping.
Elevator not working,Customer Service,Front Desk,High,Reported issue: Elevator not working. Categorized under Front Desk.
Miscommunication about pet policy,Facilities,Swimming Pool,Low,Reported issue: Miscommunication about pet policy. Categorized under Swimming Pool.
Check-out delay,Hygiene,Internet,High,Reported issue: Check-out delay. Categorized under Internet.
Room service delay,Hotel Amenities,Front Desk,Low,Reported issue: Room service delay. Categorized under Front Desk.
Creepy ambiance,Hygiene,Room Assignment,Medium,Reported issue: Creepy ambiance. Categorized under Room Assignment.
Stained towels,Hygiene,Reservation,Medium,Reported issue: Stained towels. Categorized under Reservation.
Rude behavior from staff,Financial,Reservation,High,Reported issue: Rude behavior from staff. Categorized under Reservation.
Noisy neighbors,Hotel Amenities,Elevator,Low,Reported issue: Noisy neighbors. Categorized under Elevator.
Extra bed not provided,Financial,Laundry,Low,Reported issue: Extra bed not provided. Categorized under Laundry.
Noisy neighbors,Hotel Amenities,Gym,High,Reported issue: Noisy neighbors. Categorized under Gym.
Lost luggage assistance delayed,Customer Service,Reservation,High,Reported issue: Lost luggage assistance delayed. Categorized under Reservation.
Lack of multilingual staff,Financial,Plumbing,Low,Reported issue: Lack of multilingual staff. Categorized under Plumbing.
Creepy ambiance,Financial,Front Desk,Low,Reported issue: Creepy ambiance. Categorized under Front Desk.
Broken furniture,Customer Service,Front Desk,Medium,Reported issue: Broken furniture. Categorized under Front Desk.
Unresponsive front desk,Hygiene,Elevator,Low,Reported issue: Unresponsive front desk. Categorized under Elevator.
Dirty swimming pool,Hygiene,Plumbing,Medium,Reported issue: Dirty swimming pool. Categorized under Plumbing.
Poor food quality,Hygiene,Laundry,Medium,Reported issue: Poor food quality. Categorized under Laundry.
Inadequate lighting in room,Customer Service,Noise,Low,Reported issue: Inadequate lighting in room. Categorized under Noise.
Stained towels,Financial,Plumbing,Medium,Reported issue: Stained towels. Categorized under Plumbing.
No toiletries provided,Hygiene,Gym,Medium,Reported issue: No toiletries provided. Categorized under Gym.
Unavailability of crib,Hotel Amenities,Noise,Medium,Reported issue: Unavailability of crib. Categorized under Noise.
Elevator not working,Technical,Room Assignment,High,Reported issue: Elevator not working. Categorized under Room Assignment.
Hidden fees at check-in,Facilities,Housekeeping,Low,Reported issue: Hidden fees at check-in. Categorized under Housekeeping.
